,mae,rmse,r2
linear_regression,2721.395666776127,4497.240869559372,0.8697240534947182
random_forest,2350.852564548913,4504.7346450280165,0.8692895328217805
gradient_boosting,2455.9703782341267,4380.727308466691,0.8763869336210149
